PIBR01L;DGCL;RLGCL;IPCA;SELIC;TCR;DP
12,9407073;11,24281482;11,53715333;0,8600;0,9351;-2,7767;0,07374321
12,90259532;11,02079446;10,90499853;0,6000;0,8224;-2,7085;0,430040954
12,9722663;11,13132542;11,12515329;0,4700;1,0400;0,3997;0,307148319
12,99869619;11,35139566;11,42710488;0,5500;0,9518;0,2471;0,229109618
12,99914589;11,1265896;11,2052027;0,3700;0,9853;1,4925;0,225663603
13,00776994;11,22277508;11,23359542;0,2600;1,0667;6,7053;0,282593097
13,04239367;11,32251542;11,36303171;0,0300;1,1782;3,6667;0,260682969
13,03011091;11,20787376;11,20331381;0,2400;1,1090;3,8663;0,317297586
12,99849086;11,35497601;11,22135246;0,3500;1,1090;-3,2879;0,439535079
13,05906482;11,32429248;11,38210401;0,5700;1,1090;-4,3953;0,242292108
13,05805136;11,29127598;11,59422234;0,5400;1,0559;4,1656;0,033655966
13,07478581;11,36961687;11,52333059;0,9200;1,1621;1,1948;0,165669329
13,03362275;11,439798;11,56350735;0,5500;1,0559;1,3012;0,197173469
13,0213171;11,15438858;11,10578599;0,6900;1,0028;-0,1903;0,356283125
13,04718322;11,2551877;11,29232876;0,9200;1,1621;-2,6573;0,266424944
13,06137941;11,3075445;11,48854705;0,6700;1,0559;-4,2967;0,135537337
13,07110144;11,31353919;11,16253908;0,4600;1,1090;-0,6779;0,475848047
13,03926878;11,30443943;11,27084411;0,4000;1,1621;0,4507;0,334037573
13,08920416;11,41956673;11,39033938;0,0100;1,1090;-0,5769;0,335965436
13,07889988;11,44547307;11,32454437;0,2500;1,2152;1,5345;0,438145828
13,07778345;11,50124125;11,2644649;0,5700;1,1090;2,3495;0,567827995
13,11239953;11,39404402;11,42750611;0,4200;1,0488;4,2437;0,27200606
13,10462509;11,42146563;11,33938227;0,5100;1,0383;2,9996;0,385696455
13,12561596;11,49685279;11,50649484;0,7800;1,1233;2,2651;0,307915842
13,07278542;11,46581719;11,56539188;1,2400;1,5340;-1,9211;0,232483941
13,04543916;11,25933049;11,15869213;1,2200;1,2482;6,1413;0,406091771
13,13197845;11,31047227;11,3240931;1,3200;1,3713;10,5840;0,296182559
13,10134451;11,42855049;11,53087307;0,7100;1,4836;-3,3965;0,217007881
13,09438488;11,36187383;11,25708561;0,7400;1,4150;0,1016;0,42463524
13,10141211;11,40966323;11,30526794;0,7900;1,3290;1,3095;0,416052156
13,13302025;11,50217707;11,42046502;0,6200;1,5354;2,9359;0,400065779
13,11337811;11,34930009;11,27972757;0,2200;1,4434;8,6440;0,3885679
13,12045748;11,40618829;11,32289942;0,5400;1,3813;10,2500;0,391981581
13,16544623;11,52343764;11,38357897;0,8200;1,6459;-1,5685;0,460735686
13,15574469;11,47542644;11,22576227;1,0100;1,5409;-3,5832;0,59100595
13,1713839;12,04721403;11,59266778;0,9600;1,7424;1,1731;0,906988899
13,103572;11,60222513;11,72827537;1,2700;1,9713;3,2586;0,214902113
13,10505514;11,43898136;11,11929952;0,9000;1,8304;-2,7377;0,696193292
13,15660279;11,43659476;11,34830263;0,4300;1,7770;-6,6324;0,421785483
13,13918418;11,4602185;11,54909138;0,6100;1,8716;-3,8632;0,245186095
13,14938434;11,44331655;11,24228088;0,7800;1,9654;-1,0422;0,542332715
